epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,394.2,1.38577,0.68798,1.07445,0.66951,0.67252,0.68853,0.34618,1.67565,0.77959,1.22992,0.00040707,0.00040707,0.00040707
66,400.162,1.40519,0.69554,1.08012,0.6953,0.67552,0.69503,0.34969,1.68095,0.7692,1.22745,0.000396071,0.000396071,0.000396071
67,406.059,1.36449,0.67914,1.0724,0.721,0.68307,0.70276,0.3535,1.67903,0.75974,1.22566,0.000385073,0.000385073,0.000385073
68,412.1,1.39586,0.67884,1.08603,0.69428,0.67207,0.69109,0.34713,1.69995,0.76229,1.23208,0.000374074,0.000374074,0.000374074
69,418.026,1.37808,0.67434,1.06901,0.69266,0.66508,0.68491,0.34636,1.69802,0.77597,1.24631,0.000363075,0.000363075,0.000363075
70,423.894,1.37412,0.67465,1.07592,0.68995,0.66244,0.67511,0.34105,1.69858,0.77235,1.24391,0.000352076,0.000352076,0.000352076
71,429.901,1.36819,0.66153,1.06686,0.68954,0.64513,0.68023,0.33152,1.75269,0.801,1.26776,0.000341077,0.000341077,0.000341077
72,435.863,1.37271,0.66514,1.05784,0.68936,0.63928,0.66256,0.3348,1.69897,0.79092,1.2439,0.000330078,0.000330078,0.000330078
73,441.727,1.37912,0.66419,1.07307,0.693,0.64218,0.67411,0.3391,1.69057,0.78772,1.2392,0.000319079,0.000319079,0.000319079
74,447.648,1.36781,0.66457,1.06331,0.70961,0.63961,0.68402,0.34405,1.66935,0.77255,1.22297,0.00030808,0.00030808,0.00030808
75,453.508,1.35243,0.64883,1.0785,0.68056,0.65079,0.67244,0.33741,1.6956,0.76758,1.24853,0.000297081,0.000297081,0.000297081
76,459.445,1.33212,0.64584,1.06744,0.68607,0.65646,0.68728,0.33669,1.69464,0.77166,1.24003,0.000286083,0.000286083,0.000286083
77,465.395,1.33592,0.64476,1.06101,0.68474,0.64749,0.67671,0.3386,1.67375,0.77235,1.22957,0.000275084,0.000275084,0.000275084
78,471.332,1.32565,0.65249,1.05575,0.6709,0.65919,0.67603,0.33857,1.68146,0.78199,1.23937,0.000264085,0.000264085,0.000264085
79,477.256,1.32356,0.65247,1.06114,0.69502,0.64638,0.67844,0.33617,1.6916,0.77549,1.2422,0.000253086,0.000253086,0.000253086
80,483.211,1.32399,0.64923,1.06642,0.66691,0.65441,0.6644,0.33419,1.71307,0.77602,1.25803,0.000242087,0.000242087,0.000242087
81,489.094,1.33985,0.63924,1.05169,0.67772,0.64955,0.67582,0.3396,1.70063,0.7659,1.2538,0.000231088,0.000231088,0.000231088
82,495.08,1.31399,0.62756,1.05056,0.67655,0.66252,0.67842,0.34092,1.70237,0.75887,1.24626,0.000220089,0.000220089,0.000220089
83,500.977,1.32324,0.63608,1.05061,0.66224,0.66754,0.67009,0.33838,1.70919,0.76209,1.24913,0.00020909,0.00020909,0.00020909
84,506.908,1.30081,0.63319,1.06756,0.68266,0.66464,0.67584,0.33844,1.70238,0.75855,1.24298,0.000198091,0.000198091,0.000198091
85,513,1.3057,0.62688,1.03878,0.67395,0.66287,0.67576,0.34024,1.69805,0.76247,1.24465,0.000187092,0.000187092,0.000187092
86,518.868,1.30576,0.63549,1.05195,0.6991,0.63996,0.67272,0.33842,1.70425,0.76306,1.24684,0.000176094,0.000176094,0.000176094
87,524.795,1.31134,0.63247,1.05046,0.68228,0.64931,0.66536,0.33071,1.71401,0.76348,1.26227,0.000165095,0.000165095,0.000165095
88,530.759,1.30001,0.623,1.05379,0.65682,0.66551,0.67027,0.33436,1.70467,0.75907,1.2578,0.000154096,0.000154096,0.000154096
89,536.572,1.28267,0.61364,1.04936,0.67714,0.66437,0.68027,0.33612,1.69005,0.75172,1.24788,0.000143097,0.000143097,0.000143097
90,542.453,1.27055,0.60833,1.03269,0.67168,0.67241,0.68048,0.34112,1.69969,0.75759,1.25192,0.000132098,0.000132098,0.000132098
91,550.368,1.30665,0.61732,1.07852,0.66754,0.66603,0.67163,0.33395,1.71667,0.76841,1.25796,0.000121099,0.000121099,0.000121099
92,556.503,1.28925,0.59882,1.07043,0.66266,0.66336,0.67167,0.33187,1.7137,0.77265,1.25433,0.0001101,0.0001101,0.0001101
93,562.324,1.28209,0.59396,1.0644,0.67837,0.64802,0.66898,0.33416,1.715,0.76614,1.25944,9.91012e-05,9.91012e-05,9.91012e-05
94,568.022,1.2575,0.58327,1.05221,0.64972,0.66775,0.66737,0.33065,1.71863,0.76599,1.263,8.81023e-05,8.81023e-05,8.81023e-05
95,573.798,1.24481,0.58096,1.05325,0.63064,0.67755,0.66574,0.33008,1.72849,0.77123,1.26839,7.71034e-05,7.71034e-05,7.71034e-05
96,579.643,1.23899,0.57956,1.04906,0.65324,0.67337,0.66824,0.332,1.71668,0.76359,1.26271,6.61045e-05,6.61045e-05,6.61045e-05
97,585.369,1.23883,0.5735,1.03336,0.663,0.67268,0.66983,0.33199,1.71346,0.76307,1.26452,5.51056e-05,5.51056e-05,5.51056e-05
98,591.165,1.2404,0.57484,1.05488,0.66343,0.66892,0.67094,0.33183,1.70917,0.75983,1.25812,4.41067e-05,4.41067e-05,4.41067e-05
99,596.927,1.23629,0.56998,1.04019,0.65999,0.66906,0.66771,0.33108,1.71269,0.76132,1.25861,3.31078e-05,3.31078e-05,3.31078e-05
100,602.676,1.24475,0.56924,1.04357,0.65969,0.67126,0.66696,0.33129,1.71776,0.7663,1.26348,2.21089e-05,2.21089e-05,2.21089e-05
